,temperature,oxygen,ph,turbidity,feed_amount
2024-01-01,17.36053643264392,6.468660391329007,7.28964646040567,4.234019202386061,1.674315865705533
2024-01-02,17.103657103495784,6.719375660247394,7.278677567591897,3.527485025316227,1.0538403237388048
2024-01-03,22.680272826654985,5.282977328225615,7.473213863550149,3.385328166048507,1.440758644071955
2024-01-04,17.84529353456021,6.672077920521941,7.287970102965889,3.575439603163314,1.5578226694927182
2024-01-05,19.761915830451052,5.736387188678765,7.5791280311449905,3.8863350327621586,1.3636212440175037
2024-01-06,18.074973072641207,6.445391383952225,7.39890806063877,2.564552204722669,0.664741909772907
2024-01-07,18.394100266785994,6.226382351717609,7.447631611161019,2.7126980005188974,1.0708667348269034
2024-01-08,18.307403644555112,6.0671687172159885,7.681009049983221,4.104915066518817,1.2748287140676815
2024-01-09,18.358124548961676,6.344155610717115,7.373931016890008,3.9483576888849927,0.9817150293683033
2024-01-10,16.718338681325648,6.191830747558082,7.3387374402763745,3.718065445953987,0.9769203322437743
2024-01-11,17.77657360353895,6.93363660907689,7.556339927225229,3.1970465834293256,1.351893084575277
2024-01-12,18.707557990555475,6.596825383659643,7.713534989962695,5.139517359012269,1.785766635672267
2024-01-13,20.1496560421932,5.663577009497825,7.603073258487521,4.090838485758593,1.2151525121669393
2024-01-14,18.619606600516143,6.409994305362361,7.719146418753178,4.0045526358100805,1.098176894603288
2024-01-15,19.30471877107787,6.3352026685731415,7.759428174668753,3.4302270868445537,1.125629017859735
2024-01-16,18.066893057005906,6.420662236304781,7.23380895493697,2.580195873086678,0.9406022422333686
2024-01-17,19.36844651785027,6.1286205719337845,7.727048291129998,2.3113603159557434,1.1203443688370436
2024-01-18,19.84395388015662,5.754828341282865,7.208465355387236,3.0638652593428715,0.88527635644346
2024-01-19,17.98412433743392,7.237229821063848,7.322258526966691,3.9349025503503117,1.5580827113498084
2024-01-20,19.79704904432376,5.81805830473884,7.768575269602658,2.9721823525325193,1.1873637999825362
2024-01-21,19.18053766889825,6.343071703197636,7.46018151802548,4.312791421145746,1.5545793995844235
2024-01-22,21.022612721224935,5.753033614713759,7.422957048710178,2.1111310062356674,0.5
2024-01-23,21.639708832936503,6.182642226772011,7.39117865024981,2.905997895281807,0.9300538549248102
2024-01-24,20.674815826752592,5.746627960400078,7.340409488419059,4.44386319005425,1.5930237420189557
2024-01-25,18.81070941709368,6.439487168982614,7.40778379971346,3.9421444777667536,0.9696099128681234
2024-01-26,18.680561233937834,6.421499181594189,7.653449105012591,3.658977837717102,1.0015311267214346
2024-01-27,21.10203431628192,5.355531945510586,7.459736739293989,3.2239549742516544,0.921480580742018
2024-01-28,20.01616833079055,6.166152086269415,7.434516666121078,2.0629913644365945,0.5013122355805227
2024-01-29,20.804805427920446,5.736481308070607,7.668448074349131,4.481977120408209,1.7670097820988944
2024-01-30,20.910271315357015,5.802937610264974,7.769905262313344,4.561173205672817,1.4650107894780533
